ページ番号,設問文章,説明文,選択肢,複数回答,その他回答,自由記述,ジャンプ先ページ番号マップ
20,以下の選択肢に、自分を表現する言葉として使っているものがあれば全て選択してください。(複数回答可),,"トランスジェンダー,ノンバイナリー,Xジェンダー,どれも使っていない",1,0,0,"[null,null,null,null]"
23,以下の選択肢のうち、自認しているものはどれですか。,本調査では、ノンセクシュアルはロマンティックに含まれます。選択肢にあてはまるものがない場合、または二つ以上あてはまる場合は「その他」にお書きください。,"アロマンティック,ロマンティック,グレイ(ア)ロマンティック,デミロマンティック,リスロマンティック,クエスチョニング",0,1,0,"[null,null,null,null,null,null]"
23,上で選択したセクシュアリティの自認の強さを１～５で表現するといくつになりますか。,,,0,0,0,
23,自分のことを「ノンセクシュアル」という言葉で表現しますか、または認識していますか。,,"はい,いいえ,言葉を聞いたことがない,言葉を聞いたことはあるが、意味を知らない,わからない",0,1,0,"[null,null,null,null,null]"
23,自分のことを「クワロマンティック」という言葉で表現しますか、または認識していますか。,,"はい,いいえ,言葉を聞いたことがない,言葉を聞いたことはあるが、意味を知らない,わからない",0,1,0,"[null,null,null,null,null]"
28,特定の人と「付き合いたい」と思うことがありますか。,,"ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,null,null,null]"
28,特定の人を独占したいと感じますか。,,"感じる,やや感じる,どちらでもない,あまり感じない,感じない",0,0,0,"[null,null,null,null,null]"
28,特定の人に胸が“ドキドキ”する感情を抱くことがありますか。,“ドキドキ”には憧れなど恋愛的以外の好意的な感情も含みます。,"ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,null,null,null]"
28,自分が登場する、恋愛的な空想をすることがありますか。,,"ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,null,null,null]"
28,自分が登場しない、恋愛的な空想をすることがありますか。,,"ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,null,null,null]"
28,特定の人のことを深く知りたいと思いますか。,,"思う,やや思う,どちらでもない,あまり思わない,思わない",0,0,0,"[null,null,null,null,null]"
28,特定の人に自分のことを深く知ってほしいと思いますか。,,"思う,やや思う,どちらでもない,あまり思わない,思わない",0,0,0,"[null,null,null,null,null]"
36,自認する前に恋愛感情を抱いた相手としてもっとも近いものを選択してください。,選択肢にあてはまるものがない場合は「その他」を選択してください。,"誰にも恋愛感情を抱いたことがない,男性のみ,ほとんどが男性,男性と女性同じくらい,ほとんどが女性,女性のみ,相手の性別に関係なく、恋愛感情を抱くことがあった,わからない",0,1,0,"[null,null,null,null,null,null,null,null]"
36,自認してから恋愛感情を抱いた相手としてもっとも近いものを選択してください。,選択肢にあてはまるものがない場合は「その他」を選択してください。,"誰にも恋愛感情を抱いたことがない,男性のみ,ほとんどが男性,男性と女性同じくらい,ほとんどが女性,女性のみ,相手の性別に関係なく、恋愛感情を抱くことがあった,わからない",0,1,0,"[null,null,null,null,null,null,null,null]"
39,以下の選択肢のうち、自認しているものはどれですか。,本調査では、ノンセクシュアルはアセクシュアルに含まれます。選択肢にあてはまるものがない場合、または二つ以上あてはまる場合は「その他」にお書きください。,"アセクシュアル,セクシュアル,グレイ(ア)セクシュアル,デミセクシュアル,リスセクシュアル,クエスチョニング",0,1,0,"[null,null,null,null,null,null]"
39,上で選択したセクシュアリティの自認の強さを１～５で表現するといくつになりますか。,,,0,0,0,
42,他の人と性行為をしようと思うことがありますか。,,"ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,null,null,null]"
42,"自分に""性欲""があると思いますか。",本調査における“性欲”は他の人に向かわないものも含みます。,"思う,やや思う,どちらでもない,あまり思わない,思わない",0,0,0,"[null,null,null,null,null]"
42,“ムラムラ”する感覚を覚えることがありますか。,本調査における、“ムラムラ”する感覚は他の人に向かわないものも含みます。,"ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,null,null,null]"
42,自分が登場する、性的な空想をすることがありますか。,,"ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,null,null,null]"
42,自分が登場しない、性的な空想をすることがありますか。,,"ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,null,null,null]"
42,他の人を性的な意味で魅力的だと感じることがありますか。,一般に魅力的とされているかどうかではなく、自身の感覚で魅力的と感じた経験についてお答えください。,"ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,49,51,51]"
49,他の人を性的な意味で魅力的だと感じる際、その人と性的な行為をしたいと思いますか。,,"思う,やや思う,どちらでもない,あまり思わない,思わない",0,0,0,"[null,null,null,null,null]"
51,自認する前に性愛感情を抱いた相手としてもっとも近いものを選択してください。,,"誰にも性愛感情を抱いたことがない,男性のみ,ほとんどが男性,男性と女性同じくらい,ほとんどが女性,女性のみ,相手の性別に関係なく、性愛感情を抱くことがあった,わからない",0,1,0,"[null,null,null,null,null,null,null,null]"
51,自認してから性愛感情を抱いた相手としてもっとも近いものを選択してください。,,"誰にも性愛感情を抱いたことがない,男性のみ,ほとんどが男性,男性と女性同じくらい,ほとんどが女性,女性のみ,相手の性別に関係なく、性愛感情を抱くことがあった,わからない",0,1,0,"[null,null,null,null,null,null,null,null]"
54,何歳の時にはじめて、自分の恋愛または性愛のあり方が周りと違うと感じましたか。周りとの違いを感じたことがない場合は、0と答えてください。,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",0,0,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]"
54,何歳の時にはじめて、Aro/Ace(のどれかのセクシュアリティ)について知りましたか。,本調査におけるAro/Aceは、アロマンティック／アセクシュアル・スペクトラムのことを指し、アセクシュアル、アロマンティック、グレイ(ア)セクシュアル、グレイ(ア)ロマンティック、デミセクシュアル、デミロマンティック、リスセクシュアル、リスロマンティック、その他周辺のセクシュアリティという意味で用います。,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",0,0,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]"
54,はじめてAro/Ace(のどれかのセクシュアリティ)について知ったのはどこですか。,「X(旧Twitter)に投稿されたマンガ」のように選択肢が重複する場合は、そのコンテンツに繋がるきっかけとなる媒体X(旧Twitter)を選択してください。回答に迷う場合は「その他」にお書きください。,"X(旧Twitter),YouTube,Instagram,その他のSNS,ブログ,インターネットの記事,セクシュアリティの診断サイト,テレビドラマ、映画,ドキュメンタリー、ニュース番組,その他メディア,書籍,マンガ・アニメ,講演会・研修,学校の授業,論文,LGBTQコミュニティ,Aro/Ace関連のイベント,レインボーパレード、ブース,知人から直接聞いた,覚えていない",0,1,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]"
54,上記の回答について、詳しく覚えている方は以下に具体的にお書きください。,例：作品名、書籍名、団体名、インタビュー記事の媒体名など,,0,0,1,
54,何歳のときにAro/Ace(のどれかのセクシュアリティ)であると自認しましたか。,自認していない場合は、0と答えてください。,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",0,0,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]"
60,これまでに自分がAro/Ace(のどれかのセクシュアリティ)であることをカミングアウトしたことはありますか。,,"ある,ない",0,0,0,"[null,67]"
62,これまでにカミングアウトした相手は誰ですか。(複数回答可),,"パートナーおよび元パートナー,学校の友人(同級生、先輩、後輩),インターネットで知り合った友人,上記以外の友人,職場の人(上司以外),上司,母親,父親,きょうだい,他の家族、親族,教師・学校職員,カウンセラー、相談員,医療関係者",1,1,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null]"
64,カミングアウトをした理由として、以下の選択肢にあてはまるものがあれば全て選択してください。(複数回答可),,"伝えないことで、嘘をついてるように感じたから,セクシュアリティを隠すことにストレスを感じたから,自分のことをより深く相手に知ってもらいたかったから,自分のセクシュアリティについて、当事者ではない人も正しく知ってほしかったから,自分の生き方、ライフプランを尊重してほしかったから,恋愛／性愛感情を自分に向けてほしくなかったから,恋愛／性愛に関連する話題を自分に質問してほしくなかったから,告白を断りたかったから,性的な行為をしたくなかったから,近いセクシュアリティの人と繋がりたかったから,深い理由はなかった",1,1,0,"[null,null,null,null,null,null,null,null,null,null,null]"
64,カミングアウトをした時の相手の反応はどのようなものでしたか。詳しく覚えている方は(もし可能でしたら)自由にお書きください。,,,0,0,1,
67,これまでに何回ぐらい不特定多数のAro/Aceが集まる交流会に参加したことがありますか。,,"0回,1回,2回,3～5回,6回以上",0,0,0,"[null,null,null,null,null]"
69,過去に恋人関係になった人は何人いますか。,,"0人,1人,2人,3～5人,6人以上",0,1,0,"[null,null,null,null,null]"
71,恋愛的かつ性的な関係のパートナー等を望みますか。一番近いものを選択してください。,,"望まない,1人、パートナーを望む,複数人、パートナーを望む,人数に関係なく、パートナーを望む,グループを望む,考えたことがない",0,1,0,"[76,null,null,null,null,76]"
74,どの性別の(恋愛的かつ性的な関係の)パートナー等を望みますか。以下から選択してください。,ここでいう性別は自認もしくは生活上の性別です。男女どちらかの複数のパートナー、グループを望む場合は「男性」または「女性」を選択してください。,"男性,女性,性別に関係なく望む,わからない",0,1,0,"[null,null,null,null]"
76,恋愛的でも性的でもない関係のパートナー等を望みますか。一番近いものを選択してください。,,"望まない,1人、パートナーを望む,複数人、パートナーを望む,人数に関係なく、パートナーを望む,グループを望む,考えたことがない",0,1,0,"[80,null,null,null,null,80]"
78,どの性別の(恋愛的でも性的でもない関係の)パートナー等を望みますか。以下から選択してください。,ここでいう性別は自認もしくは生活上の性別です。男女どちらかの複数のパートナー、グループを望む場合は「男性」または「女性」を選択してください。,"男性,女性,性別に関係なく望む,わからない",0,1,0,"[null,null,null,null]"
80,(戸籍上異性との)法律婚を望みますか。,法律婚の経験がある方も再婚を望む場合は「望む」または「やや望む」を選択してください。,"望む,やや望む,どちらでもない,あまり望まない,望まない,考えたことがない,現在、法律婚をしている(婚約中を含む)",0,0,0,"[null,null,null,null,null,null,null]"
80,日本で(戸籍上)同性間の婚姻が法制化された場合、その制度の利用を望みますか。,,"望む,やや望む,どちらでもない,あまり望まない,望まない,考えたことがない",0,0,0,"[null,null,null,null,null,null]"
83,子どもを望みますか。,実子か否かは問いません。,"望む,やや望む,どちらでもない,あまり望まない,望まない,すでに子どもがいる,考えたことがない",0,1,0,"[null,null,85,87,87,87,87]"
85,法律上、どのような関係の子どもを望みますか。以下の中からあてはまるものを全て選択してください。(複数回答可),選択肢にあてはまるものがない場合は「その他」にお書きください。,"実子,養子,里子",1,1,0,"[null,null,null]"
87,Aro/Aceを描く、またはAro/Aceのキャラクターが登場する作品を望みますか。,本調査におけるAro/Aceは、アロマンティック／アセクシュアル・スペクトラムのことを指し、アセクシュアル、アロマンティック、グレイ(ア)セクシュアル、グレイ(ア)ロマンティック、デミセクシュアル、デミロマンティック、リスセクシュアル、リスロマンティック、その他周辺のセクシュアリティという意味で用います。,"望む,やや望む,どちらでもない,あまり望まない,望まない",0,0,0,"[null,null,null,null,null]"
87,上記の回答に関して補足、意見などがあれば自由にお書きください。,,,0,0,1,
90,以下のうち、嫌悪感を覚える行為はどれですか。(複数回答可),,"異性間の恋愛作品の鑑賞,男性同士の恋愛作品の鑑賞,女性同士の恋愛作品の鑑賞,他の人の恋愛話を聞く,自分の恋愛話を聞かれる,どれにも嫌悪感を覚えない",1,0,0,"[null,null,null,null,null,null]"
90,以下のうち、嫌悪感を覚える行為はどれですか。(複数回答可),,"異性間の性的作品の鑑賞,男性同士の性的作品の鑑賞,女性同士の性的作品の鑑賞,他の人の性的な話を聞く,自分の性的な話を聞かれる,どれにも嫌悪感を覚えない",1,0,0,"[null,null,null,null,null,null]"
90,以下のうち、「誰からであっても(自分が相手に惹かれていても)」嫌悪感を覚える行為はどれですか。(複数回答可),,"恋愛感情を向けられる,交際を申し込まれる,自身に対する恋愛感情があることを告げられる,性的な目で見られる,性的な誘いを受ける,どれにも嫌悪感を覚えない",1,0,0,"[null,null,null,null,null,null]"
90,以下のうち、「誰からであっても(自分が相手に惹かれていても)」嫌悪感を覚える行為はどれですか。(複数回答可),,"握手する,手をつなぐ,ハグをする,キスをする,どれにも嫌悪感を覚えない",1,0,0,"[null,null,null,null,null]"
95,以下の選択肢から、恋愛／性愛感情が含まれない“愛情”を感じる対象があれば、あてはまるものを全て選択してください。(複数回答可),選択肢にない対象がいれば「その他」にお書きください。,"家族,友人,パートナー,“推し”、応援している人・キャラクターなど,職場関係の人,ペット・動物,愛情を感じる対象はいない",1,1,0,"[null,null,null,null,null,null,null]"
97,これまでにAro/Aceについて相談窓口やカウンセラー、医療機関等に相談しようと思ったことがありますか。,"ここでいう相談には、人間関係の悩みにセクシュアリティ(Aro/Ace)が関連している場合も含みます。

実際に相談したかどうかについては別のセクションで質問します。","ある,ややある,どちらでもない,あまりない,ない",0,0,0,"[null,null,99,101,101]"
99,Aro/Aceに関する相談に期待する／していたのはどのようなことですか。あてはまるものを全て選択してください。(複数回答可),,"とくになかった,自分のセクシュアリティが何にあてはまるか聞きたかった,自分のあり方を肯定してほしかった,他のAro/Aceと繋がる方法を知りたかった,Aro/Aceに関する情報を知りたかった,パートナーとの関係を相談したかった,家族との関係を相談したかった,一人で生きていく方法を知りたかった,パートナーを作る方法を知りたかった,Aro/Aceとして生きる将来像、ライフプランを相談したかった,健康上の問題があるか相談したかった",1,1,0,"[null,null,null,null,null,null,null,null,null,null,null]"
101,これまでに実際にAro/Aceについて相談窓口やカウンセラー、医療機関等に相談したことがありますか。,心理相談等だけでなく、あらゆる相談を含みます(ただし、相手に仕事として相談に乗ってもらった場合に限ります)。,"ある,ない",0,1,0,"[null,110]"
103,Aro/Aceについて相談をした窓口やカウンセラー、医療機関等は以下のどれにあてはまりますか。(複数回答可),,"心理カウンセラー,LGBTQ専門相談,精神科・心療内科,産婦人科・泌尿器科,キャリア相談,いのちの電話,よりそいホットライン,女性相談・男性相談,スクールカウンセラーや学生相談室,自治体などのよろず相談,法律相談",1,1,0,"[null,null,null,null,null,null,null,null,null,null,null]"
105,Aro/Aceについて相談をした後の満足度を１～５で表現するといくつになりますか。,,,0,0,0,
105,上記の回答を選択した理由があれば、自由にお書きください。,,,0,0,1,
108,相談をした際に、以下のことを経験したことはありますか。あてはまるものを全て選択してください。(複数回答可),,"とくになかった,相談した相手がAro/Aceについて十分に知識を持っていなかった,将来、結婚する／子どもを育てる前提で話された,“恋愛”をすると良いと助言された,性行為を(いつか)する前提で話された,自分の悩みの原因が、生育歴や家族との関係性にあると決めつけられた,健康上の問題があると決めつけられた,説明ばかり求められ、本題の相談ができなかった",1,1,0,"[null,null,null,null,null,null,null,null]"
110,Aro/Aceについて相談をしなかった理由として、あてはまるものがあれば全て選択してください。(複数回答可),,"Aro/Aceに関連した困りごとや悩みがなかった,どこに相談をしていいかわからなかった,相談しても解決してもらえないと感じた,相談できる場所があると思わなかった,Aro/Aceであることを第三者に知られてしまうかもしれないと思った,うまく説明や相談ができるかわからなかった,相談したら自身がAro/Aceであると確定してしまう気がしたから,相談しなくても解決できると思った,相談したら無理解な言動をされるかもしれないと思った,相談しても困りごととして受け止めてもらえないと思った",1,1,0,"[null,null,null,null,null,null,null,null,null,null]"
112,これまでにAro/Ace以外のことについて、相談窓口やカウンセラー、医療機関等に相談したことがありますか。,心理相談等だけでなく、あらゆる相談を含みます(ただし、相手に仕事として相談に乗ってもらった場合に限ります)。,"ある,ない",0,1,0,"[null,119]"
114,Aro/Ace以外のことについて、相談をした窓口やカウンセラー、医療機関等は以下のどれにあてはまりますか。(複数回答可),,"心理カウンセラー,LGBTQ専門相談,精神科・心療内科,産婦人科・泌尿器科,キャリア相談,いのちの電話,よりそいホットライン,女性相談・男性相談,スクールカウンセラーや学生相談室,自治体などのよろず相談,法律相談",1,1,0,"[null,null,null,null,null,null,null,null,null,null,null]"
116,Aro/Ace以外のことについて、相談をした後の満足度を１～５で表現するといくつになりますか。,,,0,0,0,
116,相談をした際に、以下のことを経験したことはありますか。あてはまるものを全て選択してください。(複数回答可),,"とくになかった,セクシュアリティを知られないよう、言えないことがあった／嘘をつかないといけなかった,将来、結婚する／子どもを育てる前提で話された,“恋愛”をすると良いと助言された,性行為を(いつか)する前提で話された,自分の悩みの原因が、生育歴や家族との関係性にあると決めつけられた,自分の悩みの原因が、恋愛／性愛に関連していると決めつけられた,恋愛/性愛に興味がない(薄い)ことで、健康上の問題があると決めつけられた,(話の流れで)カミングアウトしたところ、説明ばかり求められ、本題の相談ができなかった",1,1,0,"[null,null,null,null,null,null,null,null,null]"
119,Aro/Aceであることで以下のことを経験したことはありますか。あてはまるものを全て選択してください。(複数回答可),理由がはっきりしない場合でも、あなたがAro/Aceと関連があると感じていれば選択してください。,"とくになかった,直接、不愉快な言葉を言われた,直接、不愉快な言葉を見聞きした,オンライン上で不愉快な言葉を言われた,オンライン上で不愉快な言葉を見聞きした,不愉快な個人的な質問をされた,友人との関係において困難があった,家族、親族との関係において困難があった,恋人／パートナーとの関係において困難があった,恋人／パートナー探しにおいて困難があった,「治療」を勧められた,身体的な暴力を受けた,精神状態が悪化した,学校生活を送る中で困難があった,就職活動や仕事をする中で困難があった,部屋探しや賃貸契約での困難があった,心理的なサポートを受ける際の困難があった,その他医療を受ける際の困難があった,その他",1,0,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]"
119,上記の回答に関して具体例があれば(もし可能でしたら)自由にお書きください。,,,0,0,1,
122,Aro/Aceとして生きる中で不安を感じることはどのようなものがありますか。以下からあてはまるものを全て選択してください。(複数回答可),,"とくにない,周囲に自分のあり方が理解されないこと,友人との関係がうまくいかないこと,家族、親族との関係がうまくいかないこと,恋人／パートナーとの関係がうまくいかないこと,恋人／パートナー探しがうまくいかないこと,恋人／パートナーを持たない生き方をすること,病気やケガをしたときに助けてくれる人がいないこと,学校生活がうまくいかないこと,就職活動や仕事がうまくいかないこと,部屋探しや賃貸契約がうまくいかないこと,心理的なサポートを受ける際に自分のあり方が理解されないこと,医療、介護を受ける際に自分のあり方が理解されないこと",1,1,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null]"
124,Aro/Aceであることで困難を感じますか。,,"感じる,やや感じる,どちらでもない,あまり感じない,感じない",0,0,0,"[null,null,null,null,null]"
126,【必須項目】次のセクションでは、具体的な性的行為に関する質問が含まれています 。次の質問に進みますか。,「いいえ」と答えると自動的にセクションをスキップします。「はい」と答えても回答は必須ではありません。答えたくない質問や内容がわかりづらい質問がありましたら、飛ばして次に進んでいただいてかまいません。,"はい,いいえ",0,0,0,"[128,138]"
128,これまでに性行為をした人数について、選択肢の中でもっとも近いものを選択してください。,,"0人,1人,2人,3〜5人,6〜10人,11人以上",0,0,0,"[134,null,null,null,null,null]"
130,相手に性愛感情を抱いているわけではないが、特定の人からの期待に応えるために、納得した上でその人と性行為をしたことがありますか。,本調査では、性愛感情を「性的な魅力を感じる／性的な関係を持ちたい(性行為をしたい)と思うこと」という意味で使います。,"ある,ややある,どちらでもない,あまりない,ない,質問の意味がわからない",0,0,0,"[null,null,null,null,null,null]"
132,性行為をする(していた)理由はなんですか。以下から近いものを全て選択してください。(複数回答可),,"愛情を表現するため,ふれあい(コミュニケーション)のため,子どもが欲しいため,相手に求められるため,性欲の発散のため,性的な快感のため,自分の性的指向／性的欲求を探求するため,好奇心から,ストレスを解消するため,他の人から勧められるため,他の人とそれについて話せるため,眠りを助けるため,習慣だから,生理周期と関連してしたくなるため,夢精をしないようにするため,経済的な利益があるため",1,1,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]"
134,普段どれくらいの頻度で自慰行為(マスターベーション)をしていますか。,,"一度も自慰行為をしたことがない,以前は自慰行為をしていたが、現在はしていない,年に数回以下,3カ月に少なくとも1回,月に少なくとも1回,半月に少なくとも1回,週に少なくとも1回,週に2〜3回,週に4〜5回,日に1回程度,日に2回以上",0,1,0,"[138,null,null,null,null,null,null,null,null,null,null]"
136,自慰行為をする(していた)理由はなんですか。以下から近いものを全て選択してください。(複数回答可),,"自分のパートナーと性交渉を持てない時に、性的な快感を得るため,性欲の発散のため,性的な快感のため,自分の性的指向／性的欲求を探求するため,ストレスを解消するため,好奇心から,他の人から勧められるため,他の人とそれについて話せるため,眠りを助けるため,習慣だから,生理周期と関連してしたくなるため,夢精をしないようにするため,経済的な利益があるため",1,1,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null]"
138,【必須項目】この調査を知ったのはどこですか。,あてはまるものがない場合は「その他」にお書きください。,"X(旧Twitter),LINE,その他インターネット、SNS,Aro/Ace調査(As Loop)のサイト,インターネット以外のメディア,書籍,LGBTQコミュニティ,Aro/Ace関連のイベント,知人に直接聞いた",0,1,0,"[null,null,null,null,null,null,null,null,null]"
138,【必須項目】これまでに本調査に回答したことがありますか。(複数回答可),,"今回初めて回答した,2020年の調査に回答した,2022年の調査に回答した",1,0,0,"[null,null,null]"
138,回答ありがとうございます。ぜひ以下から本調査への感想やご意見をお答えください。,次回以降の調査でより知りたい内容があれば、そちらもご記入ください。,,0,0,1,
142,この度は本調査に関心を寄せてくださり、誠にありがとうございます。もし本調査へのご意見等があれば、任意でお書きください。次回への参考にいたします。,,,0,0,1,
142,ご意見等をご記入された方は、回答の公開の可否をお答えください。,,"公開可,公開不可",0,0,0,"[null,null]"
