,説文一覧
BO,Aro/Aceについて相談をした後の満足度を１～５で表現するといくつになりますか。
BP,上記の回答を選択した理由があれば、自由にお書きください。
BQ,相談をした際に、以下のことを経験したことはありますか。あてはまるものを全て選択してください。(複数回答可)
BR,Aro/Aceについて相談をしなかった理由として、あてはまるものがあれば全て選択してください。(複数回答可)
BS,これまでにAro/Ace以外のことについて、相談窓口やカウンセラー、医療機関等に相談したことがありますか。
BT,Aro/Ace以外のことについて、相談をした窓口やカウンセラー、医療機関等は以下のどれにあてはまりますか。(複数回答可)
BU,Aro/Ace以外のことについて、相談をした後の満足度を１～５で表現するといくつになりますか。
BV,相談をした際に、以下のことを経験したことはありますか。あてはまるものを全て選択してください。(複数回答可)
BW,Aro/Aceであることで以下のことを経験したことはありますか。あてはまるものを全て選択してください。(複数回答可)
BX,上記の回答に関して具体例があれば(もし可能でしたら)自由にお書きください。
BY,Aro/Aceとして生きる中で不安を感じることはどのようなものがありますか。以下からあてはまるものを全て選択してください。(複数回答可)
BZ,Aro/Aceであることで困難を感じますか。
CA,【必須項目】次のセクションでは、具体的な性的行為に関する質問が含まれています 。次の質問に進みますか。
CB,これまでに性行為をした人数について、選択肢の中でもっとも近いものを選択してください。
CC,相手に性愛感情を抱いているわけではないが、特定の人からの期待に応えるために、納得した上でその人と性行為をしたことがありますか。
CD,性行為をする(していた)理由はなんですか。以下から近いものを全て選択してください。(複数回答可)
CE,普段どれくらいの頻度で自慰行為(マスターベーション)をしていますか。
CF,自慰行為をする(していた)理由はなんですか。以下から近いものを全て選択してください。(複数回答可)
CG,【必須項目】この調査を知ったのはどこですか。
CH,【必須項目】これまでに本調査に回答したことがありますか。(複数回答可)
CI,回答ありがとうございます。ぜひ以下から本調査への感想やご意見をお答えください。
CJ,この度は本調査に関心を寄せてくださり、誠にありがとうございます。もし本調査へのご意見等があれば、任意でお書きください。次回への参考にいたします。
CK,ご意見等をご記入された方は、回答の公開の可否をお答えください。
